frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
93;0.930000;-1.992091e+01;1.305357e+00;-1.477633e+01;-1.945433e+01;-9.935692e+00;6.298414e+00;8.364251e+00;4.281934e-01;-1.110345e+01;-2.273071e+01;-6.567343e+00;-5.102266e+00
94;0.940000;-2.039257e+01;7.204493e-01;-1.573179e+01;-2.174234e+01;-1.102689e+01;8.736775e+00;1.192145e+01;2.400198e+00;-7.352340e+00;-1.852298e+01;-6.234399e+00;-3.311507e+00
95;0.950000;-2.031155e+01;-6.804966e-01;-1.539151e+01;-2.058988e+01;-1.245878e+01;9.908051e+00;1.559436e+01;2.741342e+00;-3.751162e+00;-1.457822e+01;-6.226787e+00;-2.215945e+00
96;0.960000;-1.911841e+01;-2.276813e-01;-1.549294e+01;-1.608357e+01;-1.029522e+01;9.261226e+00;1.924355e+01;7.193267e+00;9.766086e-01;-1.149810e+01;-7.254776e+00;-5.445979e-01
97;0.970000;-1.807632e+01;2.178690e+00;-1.292765e+01;-9.365803e+00;-6.424519e+00;1.008691e+00;1.364498e+01;7.338048e+00;3.452857e+00;-1.083784e+01;-8.737533e+00;3.379478e+00
98;0.980000;-1.804540e+01;6.379618e+00;-9.906728e+00;-5.626154e+00;1.461634e+00;3.358726e-02;1.236498e+01;1.299691e+01;6.801895e+00;-1.023468e+01;-5.548429e+00;4.792354e+00
99;0.990000;-1.882759e+01;9.385479e+00;-5.165229e+00;-8.504673e-01;6.080130e+00;4.298431e+00;1.401777e+01;1.165216e+01;6.162833e+00;-1.007881e+01;-7.293803e+00;3.569910e+00
100;1.000000;-1.769499e+01;1.013898e+01;-1.637839e+00;2.638640e+00;9.464834e+00;1.177490e+01;1.970734e+01;1.479901e+01;8.119089e+00;-9.541353e+00;-6.572544e+00;4.591532e+00
101;1.010000;-1.592656e+01;1.071187e+01;-7.932339e-01;2.398586e+00;7.308988e+00;1.616245e+01;2.026347e+01;1.189234e+01;7.657702e+00;-9.437963e+00;-7.741105e+00;8.158018e+00
102;1.020000;-1.455001e+01;1.053234e+01;-2.141093e+00;7.024166e-01;5.988096e+00;1.504963e+01;1.813274e+01;1.349567e+01;9.670207e+00;-8.179399e+00;-7.874980e+00;1.210455e+01
103;1.030000;-1.443449e+01;9.550734e+00;-4.360441e+00;-1.472598e+00;1.798539e+00;1.376628e+01;1.549460e+01;1.212594e+01;7.548732e+00;-6.637181e+00;-7.723525e+00;1.180980e+01
104;1.040000;-1.418555e+01;8.848146e+00;-4.170589e+00;-1.458617e+00;2.128371e+00;8.671357e+00;1.426241e+01;1.043335e+01;8.666158e-01;-8.997180e+00;-1.087977e+01;1.028222e+01
105;1.050000;-1.432069e+01;8.176799e+00;-2.814868e+00;-2.484845e+00;2.335715e+00;8.897308e+00;1.520205e+01;3.678068e+00;-5.060311e+00;-1.345801e+01;-1.055835e+01;1.140241e+01
106;1.060000;-1.404900e+01;9.085731e+00;-5.759701e-01;-4.548388e+00;-1.562107e-01;1.048278e+01;1.861395e+01;2.387377e-01;-7.259661e+00;-1.631607e+01;-8.904691e+00;1.198922e+01
